Aech_gene_100	0.06219
Aech_gene_10002	0.07041
Aech_gene_10003	0.03740
Aech_gene_10004	0.22807
Aech_gene_10005	0.11653
Aech_gene_1001	0.08937
Aech_gene_1002	0.18243
Aech_gene_10021	0.15670
Aech_gene_10023	0.27374
Aech_gene_10025	0.08794
Aech_gene_1003	0.19672
Aech_gene_10033	0.12053
Aech_gene_10036	0.35268
Aech_gene_10048	0.05048
Aech_gene_10049	0.20402
Aech_gene_1005	0.08009
Aech_gene_10053	0.04522
Aech_gene_10054	0.08014
Aech_gene_10056	0.31527
Aech_gene_10057	0.24676
Aech_gene_10058	0.08091
Aech_gene_10059	0.27443
Aech_gene_1006	0.14422
Aech_gene_10062	0.12610
Aech_gene_1007	0.16788
Aech_gene_10070	0.37406
Aech_gene_10071	0.25722
Aech_gene_10074	0.25653
Aech_gene_10075	0.37906
Aech_gene_10076	0.16077
Aech_gene_10077	0.23827
Aech_gene_10078	0.13401
Aech_gene_10079	0.19386
Aech_gene_1008	0.13620
Aech_gene_10080	0.02963
Aech_gene_10081	0.09220
Aech_gene_10083	0.09484
Aech_gene_10087	0.21663
Aech_gene_10088	0.05396
Aech_gene_10089	0.03279
Aech_gene_10090	0.11346
Aech_gene_10091	0.36997
Aech_gene_10092	0.05813
Aech_gene_10093	0.17341
Aech_gene_10094	0.11203
Aech_gene_10095	0.12284
Aech_gene_10096	0.18435
Aech_gene_10097	0.11202
Aech_gene_10099	0.08581
Aech_gene_1010	0.20151
Aech_gene_10100	0.74503
Aech_gene_10102	0.11121
Aech_gene_10104	0.06017
Aech_gene_10106	0.13393
Aech_gene_10107	0.00280
Aech_gene_10108	0.09371
Aech_gene_10109	0.19648
Aech_gene_1011	0.04926
Aech_gene_10110	0.26769
Aech_gene_10112	0.03325
Aech_gene_10113	0.08124
Aech_gene_10114	0.07812
Aech_gene_10115	0.05834
Aech_gene_10116	0.21061
Aech_gene_10117	0.04126
Aech_gene_10118	0.10078
Aech_gene_10119	0.24083
Aech_gene_10120	0.16381
Aech_gene_10121	0.08933
Aech_gene_10122	0.18374
Aech_gene_10123	0.10071
Aech_gene_10124	0.17313
Aech_gene_10125	0.24093
Aech_gene_10126	0.36297
Aech_gene_1013	0.13285
Aech_gene_10130	0.01029
Aech_gene_10131	0.13515
Aech_gene_10133	0.06916
Aech_gene_10134	0.07001
Aech_gene_10135	0.03834
Aech_gene_10138	0.05292
Aech_gene_10139	0.11609
Aech_gene_1014	0.08341
Aech_gene_10142	0.15194
Aech_gene_10143	0.16097
Aech_gene_10145	0.05551
Aech_gene_10146	0.16702
Aech_gene_10147	0.17047
Aech_gene_10149	0.08738
Aech_gene_1015	0.17733
Aech_gene_10150	0.11601
Aech_gene_10152	0.29367
Aech_gene_10153	0.14150
Aech_gene_10154	0.25945
Aech_gene_1017	0.12363
Aech_gene_10180	0.16921
Aech_gene_10181	0.02746
Aech_gene_10182	0.43311
Aech_gene_10184	0.50162
Aech_gene_1019	0.14922
Aech_gene_10190	0.04639
Aech_gene_10191	0.06806
Aech_gene_10192	0.13017
Aech_gene_10195	0.45811
Aech_gene_10196	0.12323
Aech_gene_10198	0.00327
Aech_gene_102	0.19762
Aech_gene_1020	0.18208
Aech_gene_10200	0.01504
Aech_gene_10201	0.06716
Aech_gene_10203	0.07218
Aech_gene_10204	0.28367
Aech_gene_10205	0.05187
Aech_gene_10206	0.08599
Aech_gene_10207	0.02027
Aech_gene_10208	0.07778
Aech_gene_1021	0.14676
Aech_gene_10211	0.14128
Aech_gene_10212	0.22679
Aech_gene_10213	0.04364
Aech_gene_10214	0.03808
Aech_gene_10215	0.04708
Aech_gene_10216	0.05270
Aech_gene_10217	0.01178
Aech_gene_10218	0.02606
Aech_gene_10219	0.09467
Aech_gene_10220	0.25731
Aech_gene_10221	0.45300
Aech_gene_10222	0.12228
Aech_gene_10226	0.28930
Aech_gene_10227	0.03956
Aech_gene_10230	0.10546
Aech_gene_10231	0.22155
Aech_gene_10232	0.03026
Aech_gene_10233	0.08228
Aech_gene_10234	0.12509
Aech_gene_10236	0.07414
Aech_gene_1024	0.09003
Aech_gene_10242	0.06505
Aech_gene_10243	0.04921
Aech_gene_10244	0.17473
Aech_gene_10245	0.11901
Aech_gene_10246	0.00162
Aech_gene_10247	0.20425
Aech_gene_10249	0.20262
Aech_gene_10250	0.20338
Aech_gene_10253	0.03870
Aech_gene_10254	0.07268
Aech_gene_10255	0.12131
Aech_gene_10257	0.07646
Aech_gene_10258	0.10054
Aech_gene_10259	0.48091
Aech_gene_10266	0.10141
Aech_gene_10267	0.29694
Aech_gene_10268	0.10257
Aech_gene_10269	0.08535
Aech_gene_10271	0.09404
Aech_gene_10273	0.01602
Aech_gene_10276	0.06791
Aech_gene_10277	0.19918
